的,r/rqy/rqyy,1
一,g/ggl/ggll,2
是,j/jgh/jghu,3
在,d/dhf/dhfd,4
不,i/gi/gii,5
了,b/bnh,6
有,e/def,7
和,t/tkg,8
人,w/wwww,9
这,p/yp/ypi,10
中,k/kh/khk,11
大,dd/dddd,12
上,h/hhg/hhgg,13
为,o/yl/yly/ylyi,14
个,wh/whj,15
过,fp/fpi,16
国,l/lgy/lgyi,17
我,q/trn/trnt,18
以,c/nyw/nywy,19
地,f/fb/fbn,20
他,wb/wbn,21
要,s/sv/svf,22
来,go/goi,23
们,wu/wun,24
时,jf/jfy,25
到,gc/gcfj,26
生,tg/tgd,27
用,et/etnh,28
作,wt/wthf,29
就,yi/yidn,30
出,bm/bmk,31
于,gf/gfk,32
会,wf/wfc/wfcu,33
对,cf/cfy,34
分,wv/wvb,35
成,dn/dnn/dnnt,36
年,rh/rhfk,37
可,sk/skd,38
同,m/mg/mgk/mgkd,39
主,y/yg/ygd,40
也,bn/bnhn,41
发,v/ntc/ntyc,42
工,a/aaa/aaaa,43
说,yu/yuk/yukq,44
子,bb/bbb/bbbb,45
下,gh/ghi,46
能,ce/cex/cexx,47
动,fcl/fcln,48
行,tf/tfhh,49
产,u/ut/ute,50
而,dmj/dmjj,51
多,qq/qqu,52
后,rg/rgk/rgkd,53
方,yy/yygn,54
面,dm/dmjd,55
种,tkh/tkhh,56
学,ip/ipb/ipbf,57
著,aft/aftj,58
着,udh/udhf,59
得,tj/tjg/tjgf,60
定,pg/pgh/pghu,61
法,if/ifc/ifcy,62
民,n/na/nav,63
所,rn/rnrh,64
经,x/xc/xca/xcag,65
十,fgh,66
三,dg/dgg/dggg,67
之,pp/ppp/pppp,68
进,fj/fjp/fjpk,69
家,pe/peu,70
等,tffu,71
部,uk/ukb/ukbh,72
里,jfd,73
都,ftjb,74
自,thd,75
二,fg/fgg,76
如,vk/vkg,77
理,gj/gjf/gjfg,78
起,fhn/fhnv,79
力,lt/ltn,80
长,ta/tay/tayi,81
化,wx/wxn,82
现,gm/gmq/gmqn,83
小,ih/iht/ihty,84
度,ya/yac/yaci,85
实,pu/pud/pudu,86
点,hko/hkou,87
高,ym/ymk/ymkf,88
还,gip/gipi,89
当,iv/ivf,90
电,jn/jnv,91
加,lk/lkg,92
两,gmww,93
从,ww/wwy,94
去,fcu,95
物,tr/trq/trqr,96
把,rcn,97
本,sg/sgd,98
好,vb/vbg,99
水,ii/iii/iiii,100
制,rmhj,101
体,wsg/wsgg,102
开,ga/gak,103
业,og/ogd,104
重,tgj/tgjf,105
使,wgkq,106
天,gd/gdi,107
然,qd/qdo/qdou,108
些,hxf/hxff,109
量,jg/jgj/jgjf,110
前,ue/uej/uejj,111
四,lh/lhng,112
那,vfb/vfbh,113
外,qh/qhy,114
事,gk/gkv/gkvh,115
它,px/pxb,116
名,qk/qkf,117
合,wgk/wgkf,118
因,ld/ldi,119
应,yid,120
由,mh/mhng,121
其,adw/adwu,122
日,jjjj,123
性,ntg/ntgg,124
社,py/pyf/pyfg,125
义,yq/yqi,126
全,wg/wgf,127
样,su/sud/sudh,128
政,ght/ghty,129
表,ge/geu,130
机,sm/smn,131
关,ud/udu,132
新,usr/usrh,133
平,gu/guh/guhk,134
各,tk/tkf,135
相,sh/shg,136
间,uj/ujd,137
心,ny/nyn/nyny,138
正,ghd,139
与,gn/gng/gngd,140
西,sghg,141
形,gae/gaet,142
反,rc/rci,143
看,rhf,144
明,je/jeg,145
又,ccc/cccc,146
么,tc/tcu,147
内,mw/mwi,148
你,wq/wqi/wqiy,149
但,wjg/wjgg,150
利,tjh,151
道,uthp,152
原,dr/dri/drii,153
没,im/imc/imcy,154
第,tx/txh/txht,155
比,xx/xxn,156
命,wgkb,157
数,ovt/ovty,158
只,kw/kwu,159
线,xg/xgt,160
向,tm/tmk/tmkd,161
问,ukd,162
意,ujn/ujnu,163
站,uh/uhkg,164
此,hx/hxn,165
或,ak/akg/akgd,166
条,ts/tsu,167
无,fq/fqv,168
公,wc/wcu,169
质,rfm/rfmi,170
结,xf/xfk/xfkg,171
解,qev/qevh,172
情,nge/ngeg,173
建,vfhp,174
月,eee/eeee,175
想,shn/shnu,176
很,tve/tvey,177
变,yo/yoc/yocu,178
者,ftj/ftjf,179
代,wa/way,180
已,nnnn,181
立,uu/uuu/uuuu,182
系,txi/txiu,183
军,pl/plj,184
最,jb/jbc/jbcu,185
并,ua/uaj,186
提,rj/rjgh,187
党,ipk/ipkq,188
题,jghm,189
气,rnb,190
五,gg/ggh/gghg,191
展,nae/naei,192
象,qje/qjeu,193
文,yygy,194
通,cep/cepk,195
总,ukn/uknu,196
果,js/jsi,197
次,uqw/uqwy,198
员,km/kmu,199
革,af/afj,200
活,itd/itdg,201
程,tkgg,202
常,ipkh,203
头,udi,204
位,wug,205
老,ftx/ftxb,206
直,fh/fhf,207
入,ty/tyi,208
特,trf/trff,209
品,kkk/kkkf,210
件,wrh/wrhh,211
山,mmm/mmmm,212
见,mqb,213
路,kht/khtk,214
求,fiy/fiyi,215
管,tp/tpn/tpnn,216
及,ey/eyi,217
级,xe/xey/xeyy,218
少,it/itr,219
基,ad/adwf,220
别,klj/kljh,221
设,ymc/ymcy,222
式,aa/aad,223
资,uqwm,224
知,td/tdk/tdkg,225
组,xeg/xegg,226
几,mt/mtn,227
手,rt/rtg/rtgh,228
论,ywx/ywxn,229
统,xyc/xycq,230
接,ruv/ruvg,231
农,pei,232
被,puhc,233
边,lp/lpv,234
指,rxj/rxjg,235
将,uqf/uqfy,236
料,ou/ouf/oufh,237
九,vt/vtn,238
决,un/unw/unwy,239
先,tfq/tfqb,240
根,sve/svey,241
期,adwe,242
计,yf/yfh,243
强,xk/xkj/xkjy,244
干,fggh,245
战,hka/hkat,246
回,lkd,247
放,yt/yty,248
她,vbn,249
给,xw/xwg/xwgk,250
任,wtf/wtfg,251
运,fcp/fcpi,252
做,wdt/wdty,253
必,nt/nte,254
流,iyc/iycq,255
区,aq/aqi,256
取,bc/bcy,257
门,uyh/uyhn,258
处,th/thi,259
据,rnd/rndg,260
南,fm/fmu/fmuf,261
则,mj/mjh,262
队,bw/bwy,263
图,ltu/ltui,264
北,ux/uxn,265
百,dj/djf,266
光,iq/iqb,267
治,ick/ickg,268
东,ai/aii,269
保,wk/wks/wksy,270
志,fn/fnu,271
较,lu/luq/luqy,272
领,wycm,273
海,itx/itxu,274
口,kkkk,275
七,ag/agn,276
导,nf/nfu,277
调,ymf/ymfk,278
即,vcb/vcbh,279
什,wfh,280
造,tfkp,281
金,qqqq,282
吃,ktn/ktnn,283
规,fwm/fwmq,284
争,qv/qvh/qvhj,285
思,ln/lnu,286
世,an/anv,287
共,aw/awu,288
六,uy/uygy,289
认,yw/ywy,290
交,uq/uqu,291
受,epc/epcu,292
阶,bwj/bwjh,293
色,qc/qcb,294
联,bu/bud/budy,295
极,se/sey/seyy,296
美,ugdu,297
济,iyj/iyjh,298
更,gjq/gjqi,299
打,rs/rsh,300
改,nty,301
再,gmf/gmfd,302
增,fu/ful/fulj,303
收,nh/nht/nhty,304
清,ige/igeg,305
切,av/avn,306
真,fhw/fhwu,307
教,ftbt,308
场,fnrt,309
权,sc/scy,310
安,pv/pvf,311
万,dnv,312
术,sy/syi,313
证,ygh/yghg,314
身,tmd/tmdt,315
务,tl/tlb,316
走,fhu,317
带,gkp/gkph,318
斗,ufk,319
角,qe/qej,320
单,ujfj,321
花,awx/awxb,322
目,hhhh,323
完,pfq/pfqb,324
声,fnr,325
热,rvyo,326
报,rb/rbc/rbcy,327
八,wty,328
白,rrr/rrrr,329
才,ft/fte,330
具,hw/hwu,331
至,gcf/gcff,332
张,xt/xta/xtay,333
马,cn/cnn/cnng,334
每,txg/txgu,335
话,ytd/ytdg,336
达,dp/dpi,337
转,lfn/lfny,338
议,yyq/yyqy,339
科,tu/tufh,340
器,kkd/kkdk,341
示,fi/fiu,342
确,dqe/dqeh,343
许,ytf/ytfh,344
今,wynb,345
例,wgq/wgqj,346
集,wys/wysu,347
信,wy/wyg,348
记,yn/ynn,349
积,tkw/tkwy,350
群,vtk/vtkd,351
步,hi/hir,352
整,gkih,353
广,yygt,354
风,mq/mqi,355
传,wfny,356
界,lwj/lwjj,357
华,wxf/wxfj,358
且,eg/egd,359
元,fqb,360
离,yb/ybm/ybmc,361
压,dfy/dfyi,362
研,dga/dgah,363
究,pwv/pwvb,364
况,ukq/ukqn,365
书,nnh/nnhy,366
拉,ru/rug,367
类,od/odu,368
节,ab/abj,369
采,es/esu,370
观,cm/cmq/cmqn,371
越,fha/fhat,372
众,www/wwwu,373
持,rf/rff/rffy,374
叫,kn/knh/knhh,375
油,img,376
速,gkip,377
织,xkw/xkwy,378
林,ss/ssy,379
段,wdm/wdmc,380
难,cw/cwy/cwyg,381
需,fdm/fdmj,382
非,djd/djdd,383
复,tjt/tjtu,384
儿,qt/qtn,385
律,tvfh,386
布,dmh/dmhj,387
际,bf/bfi/bfiy,388
连,lpk,389
算,tha/thaj,390
深,ipw/ipws,391
容,pww/pwwk,392
千,tfk,393
近,rp/rpk,394
周,mfk/mfkd,395
影,jyie,396
断,on/onr/onrh,397
己,nng/nngn,398
办,lw/lwi,399
须,ed/edm/edmy,400
商,um/umw/umwk,401
石,dgtg,402
青,gef,403
米,oy/oyt/oyty,404
便,wgj/wgjq,405
感,dgkn,406
省,ith/ithf,407
支,fc/fcu,408
何,wsk/wskg,409
团,lft/lfte,410
验,cwg/cwgi,411
