一 g
丁 sgh
七 ag
万 dnv
丈 dyi
三 dg
上 h
下 gh
不 gi
与 gn
丐 ghn
丑 nfd
专 fny
且 eg
世 an
丘 rgd
丙 gmw
业 og
丛 wwg
东 ai
丝 xxg
丢 tfc
两 gmww
严 god
丧 fue
个 wh
中 k
丰 dh
串 kkh
临 jty
丸 vyi
丹 myd
为 o
主 y
丽 gmy
举 iwf
乃 etn
久 qy
么 tc
义 yq
之 pp
乌 qng
乍 thf
乎 tuh
乏 tpi
乐 qi
乒 rgt
乓 rgy
乔 tdj
乖 tfu
乘 tux
乙 nnl
九 vt
乞 tnb
也 bn
习 nu
乡 xte
书 nnh
买 nudu
乱 tdn
乳 ebn
乾 fjt
了 b
予 cbj
争 qv
事 gk
二 fg
于 gf
亏 fnv
云 fcu
互 gx
五 gg
井 fjk
亚 gog
些 hxf
亡 ynv
交 uq
亥 yntw
亦 you
产 u
亩 ylf
享 ybf
京 yiu
亭 yps
亮 ypm
亲 us
人 w
亿 wn
什 wfh
仁 wfg
仅 wcy
仆 why
仇 wvn
今 wynb
介 wj
仍 we
从 ww
仑 wxb
仓 wbb
仔 wbg
他 wb
仗 wdyy
付 wfy
仙 wm
代 wa
令 wyc
以 c
仪 wyq
们 wu
仰 wqbh
仲 wkhh
件 wrh
价 wwj
任 wtf
份 wwv
仿 wyn
企 whf
伊 wvt
伍 wgg
伏 wdy
伐 wat
休 ws
众 www
优 wdn
伙 wo
会 wf
伞 wuh
伟 wfn
传 wfny
伤 wtl
伦 wwx
伪 wyl
伯 wr
估 wd
伴 wuf
伶 wwyc
伸 wjh
伺 wng
似 wny
佃 wl
但 wjg
位 wug
低 wqa
住 wygg
佑 wdk
体 wsg
何 wsk
余 wtu
佛 wxj
作 wt
你 wq
佣 weh
佩 wmg
佳 wffg
使 wgkq
侄 wgcf
侈 wqq
例 wgq
侍 wff
供 waw
依 wye
侠 wgu
侣 wkk
侥 watq
侦 whm
侧 wmj
侨 wtd
侮 wtx
侯 wnt
侵 wvp
便 wgj
促 wkh
俄 wtr
俊 wcw
俏 wie
俐 wtj
俗 wwwk
俘 web
保 wk
信 wy
俩 wgm
俭 wwgi
修 wht
俯 wyw
俱 whw
俺 wdjn
倍 wuk
倒 wgc
倔 wnb
倘 wim
候 whn
倚 wds
借 waj
倡 wjjg
倦 wud
债 wgmy
值 wfhg
倾 wxd
假 wnh
偎 wlge
偏 wyna
做 wdt
停 wyp
健 wvf
偶 wjm
偷 wwgj
偿 wi
傀 wrq
傅 wge
傍 wup
储 wyf
催 wmw
傲 wgqt
傻 wtlt
像 wqj
僚 wdu
僧 wul
僵 wgl
僻 wnk
儒 wfd
儡 wll
儿 qt
允 cq
元 fqb
兄 kqb
充 yc
兆 iqv
先 tfq
光 iq
克 dq
免 qkq
兑 ukqb
兔 qkqy
党 ipk
兜 qrnq
